OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,COMPLEX_INCNUM,IRWINID,FIRE_NUM,DECADES,Shape__Area,Shape__Length
21922,2020,CA,CDF,LNU,ANNAPOLIS,00002399,2/12/2020 12:00:00 AM,2/12/2020 12:00:00 AM,14,6,1,2.159534,Diane Mibach,,,,,2020,14377.703125,459.26119320754
21924,2020,CA,CDF,LNU,FOX,00011856,7/27/2020 12:00:00 AM,7/27/2020 12:00:00 AM,4,6,1,1.696867,Jase Indrebro,,,,,2020,11247.234375,543.866884816885
21925,2020,CA,CDF,LNU,13-1,00013249,8/16/2020 12:00:00 AM,8/16/2020 12:00:00 AM,1,6,1,1.20419,Brian Mickelson,,,,,2020,8011.58984375,393.058202701235
21926,2020,CA,CDF,LNU,MILL,00006651,5/5/2020 12:00:00 AM,5/5/2020 12:00:00 AM,11,6,1,1.699512,Dan Cavazos,,,,,2020,11273.31640625,401.829365918397
21927,2020,CA,CDF,LNU,TAYLOR,00013619,8/19/2020 12:00:00 AM,8/19/2020 12:00:00 AM,14,6,1,1.7314,Forest Martin,,,,,2020,11431.1640625,546.039185013938
21928,2020,CA,CDF,LNU,NEWELL,00009981,6/29/2020 12:00:00 AM,6/29/2020 12:00:00 AM,7,6,1,2.560388,Zach Cartee,,,,,2020,16795.35546875,591.864651209272
21929,2020,CA,CDF,LNU,PLEASANTS,00007817,5/27/2020 12:00:00 AM,5/27/2020 12:00:00 AM,11,6,1,8.70067,Jessie Campbell,,,,,2020,57423.28125,1049.61199794104
21930,2020,CA,CDF,LNU,CEMENT,00008139,6/2/2020 12:00:00 AM,6/2/2020 12:00:00 AM,14,6,1,3.509619,Gary Uboldi,,,,,2020,23163.33984375,660.835588314395
21931,2020,CA,CDF,LNU,TWIN,00019608,11/23/2020 12:00:00 AM,11/23/2020 12:00:00 AM,5,6,1,1.042918,Jason Freyer,,,,,2020,6863.4609375,353.886045886461
21932,2020,CA,CCO,MRN,PIERCE,00002436,9/27/2020 12:00:00 AM,9/27/2020 12:00:00 AM,2,1,1,5.636059,,,,,,2020,36788.51953125,892.762706096636
21933,2020,CA,CCO,MRN,ISLAND,00001927,8/9/2020 12:00:00 AM,8/9/2020 12:00:00 AM,4,1,1,1.435053,,,,,,2020,9370.9921875,415.082883993715
21934,2020,CA,USF,LPF,PLASKETT,00001245,6/3/2020 12:00:00 AM,6/6/2020 12:00:00 AM,5,8,1,1.500947,4952B882-1B9A-44C5-8024-70C12055E3F8,,,,,2020,9284.515625,374.856733756359
21935,2020,CA,USF,BDF,RALPH ,00012365,8/15/2020 12:00:00 AM,8/18/2020 12:00:00 AM,1,8,1,9.390384,D920AEDB-8F88-448B-BAF4-87373D3E2F8F,,,,,2020,55017.73046875,911.341921065359
21936,2020,CA,USF,ANF,BLUE,00004178,10/16/2020 12:00:00 AM,10/20/2020 12:00:00 AM,1,3,1,5.151273,B168D375-4B5B-46F4-B7B0-C5E6CC04767C,,,,,2020,30685.8203125,1142.82336347709
21937,2020,CA,CDF,BTU,2-28,00009756,8/17/2020 12:00:00 AM,9/10/2020 12:00:00 AM,1,1,1,21.37203,,BUTTE LIGHTNING COMPLEX,00009692,,,2020,147417.546875,1901.83622460775
21938,2020,CA,CDF,BTU,1-11,00009778,8/17/2020 12:00:00 AM,9/10/2020 12:00:00 AM,1,1,1,12.20918,,BUTTE LIGHTNING COMPLEX,00009692,,,2020,84049.51953125,1243.22544356799
21939,2020,CA,CDF,BTU,2-30,00009784,8/17/2020 12:00:00 AM,9/10/2020 12:00:00 AM,1,1,1,6.258504,,BUTTE LIGHTNING COMPLEX,00009692,,,2020,43254.515625,894.832910065937
21940,2020,CA,CDF,BTU,2-26,00009730,8/17/2020 12:00:00 AM,9/10/2020 12:00:00 AM,1,1,1,27.64174,,BUTTE LIGHTNING COMPLEX,00009692,,,2020,191103.57421875,1987.66925081142
21941,2020,CA,CDF,BTU,1-8,00009749,8/17/2020 12:00:00 AM,9/10/2020 12:00:00 AM,1,1,1,92.39507,,BUTTE LIGHTNING COMPLEX,00009692,,,2020,637869.19921875,3794.78984311521
21942,2020,CA,CDF,BTU,1-7,00009748,8/17/2020 12:00:00 AM,9/26/2020 12:00:00 AM,1,1,1,174.789,,BUTTE LIGHTNING COMPLEX,00009692,,,2020,1207708.796875,6517.7653832444
21943,2020,CA,CDF,BTU,1-12,00010058,8/24/2020 12:00:00 AM,9/10/2020 12:00:00 AM,1,1,1,946.5836,,BUTTE LIGHTNING COMPLEX,00009692,,,2020,6530778.578125,18556.5256533503
21945,2007,CA,CCO,LAC,OCTOBER,00246393,10/21/2007 12:00:00 AM,10/23/2007 12:00:00 AM,14,8,1,25.73671,,,,,00233414,2000,153290.078125,2305.25840789102
21946,2007,CA,CCO,LAC,MAGIC,00233077,10/22/2007 12:00:00 AM,10/25/2007 12:00:00 AM,14,8,1,2824.877,,,,,00233077,2000,16834546.8476563,24761.5896440095
21947,2007,CA,USF,ANF,RANCH,00000166,10/20/2007 12:00:00 AM,11/15/2007 12:00:00 AM,2,7,1,58410.34,,,,,00000166,2000,348868467.183594,205467.42778704
